Product Name,Price,Rating
Shop Mounting ,,
Dream ,349,
"TCL 43-Inch Class S4 4K LED Smart TV with Fire TV (43S450F-CA), Dolby Vision HDR, Dolby Atmos, Alexa Built-in, Apple Airplay Compatibility, Streaming UHD Television, Black",309,
"Amazon Fire TV 40"" 2-Series (newest model), HD smart TV, stream live TV without cable","1,299",
"TCL 65-Inch QM85 QLED 4K Smart QD-Mini LED TV with Google TV (65QM851G, 2024 Model) Dolby Vision IQ HDR, Dolby Atmos, Game Accelerator up to 240Hz, Voice Remote, Works with Alexa, Streaming Television",548,
"Samsung 60-Inch Crystal UHD DU6900 Series Smart TV with 4K, Tizen OS, Object Tracking Sound Lite, Q-Symphony, 4K Upscaling, Gaming Hub - [UN60DU6900FXZC][Canada Version] (2024)",548,
"Hisense 32A4KV - 32"" Smart Full Array HD VIDAA TV with DTS TruSurround (Canada Model) 2023",239,
"Amazon Fire TV 32"" 2-Series (newest model), HD smart TV, stream live TV without cable",698,
"SAMSUNG 55-Inch QLED 4K Q60D Series Quantum HDR, Q-Symphony, Motion Xcelerator, Gaming Hub, Smart TV - [QN55Q60DAFXZC] [Canada Version] (2024)",129,
"Android 11.0 TV Box, MECOOL KM2 Plus 2GB 16GB Smart TV Box with Netflix Certified, Google Assistant Dolby Atmos, TV Box 4K Support AV1, 2.4G/5G, Ethernet, WiFi 5, BT 5.0 with Amlogic S905X4",299,
"Samsung UN32N5300AFXZC 32"" 1080p Full HD Smart LED TV, Glossy Black [Canada Version]",,
,,
"Amazon Fire TV 50"" 4-Series 4K UHD smart TV, stream live TV without cable",299,
"Philips Roku TV 32"" FHD 1080p LED-LCD Smart TV (32PFL6573/F6), Alexa Compatible",349,
Hisense 50R63N-50 inch 4K UHD HDR LED Roku Smart TV-2024,529,
"Samsung 40"" 1080p LED Smart TV (Black) (UN40N5200AFXZC) [Canada Version]",79,
"All-new Amazon Fire TV 55"" 4-Series 4K UHD smart TV, stream live TV without cable, 2024 release",227,
"SAMSUNG 65-Inch QLED 4K Q60D Series Quantum HDR, Q-Symphony, Motion Xcelerator, Gaming Hub, Smart TV - [QN65Q60DAFXZC] [Canada Version] (2024)",148,
"LG 32-Inch LR655 Series HD Smart TV - α5 AI Processor, Dynamic Tone Mapping, Alexa Ready, HDR10, HGIG, WebOS 23, Wi-Fi, Bluetooth, AI Upscaling, AI Sound, LG Channels (32LR655BPUA, 2024)","36,597",
"RCA 24"" ROKU Television, 720p, Black (RTR2461-CA)",599,
"LG 97-Inch G4 OLED evo 4K Smart TV and, LG S90TR 7.1.3 ch. Soundbar",449,
"LG 55-Inch UT7000 Series 4K Smart TV - α5 AI Processor 4K, Dynamic Tone Mapping, Alexa Ready, HDR10, HGIG, ALLM, WebOS 24, Wi-Fi, Bluetooth, AI Upscaling, AI Sound, LG Channels (55UT7000PUB, 2024)",348,
"TCL 50-Inch Q65 QLED 4K UHD Smart TV with Google TV (50Q651G-CA, 2024 Model) Dolby Vision, Dolby Atmos, HDR Pro+, Game Accelerator Enhanced Gaming, Voice Remote, Works with Alexa, Streaming Television",369,
"Hisense 43A68N-43 inch 4K UHD Smart Google TV with 4K AI Upscaler, DTS Virtual: X, HDR+/HDR10, Game Mode Plus, 60Hz VRR ALLM",79,
"All-new Amazon Fire TV 43"" 4-Series 4K UHD smart TV, stream live TV without cable, 2024 release",89,
"Amazon Fire TV Stick 4K Max (newest model), streaming device, supports Wi-Fi 6E, free & live TV without cable or satellite",68,
"XINLEI Mobile TV Carts, Rolling TV Stand on Wheels for 21-60"" Flat/Curved TVs Height Adjustable 30° Tilt Floor TV Stand Portable Monitor Stand Holds up to 77lbs Max VESA 400x400mm, ML55SE",898,
"BONTEC Mobile TV Stand, Tilt Rolling TV Cart with Media Shelf and Locking Wheels, Fits 23-60” LED, LCD, OLED Flat & Curved TVs, Holds Up to 55lbs, Max VESA 400x400mm",398,
"SAMSUNG 75-Inch Crystal UHD DU7100 Series with Crystal Processor 4K, Object Tracking Sound Lite, Q-Symphony, 4K Upscaling, Gaming Hub, Smart TV - [UN75DU7100FXZC][Canada Version] (2024)","3,296",
"Hisense 50QD6N-50 QLED 4K UHD Google TV with 4K AI Upscaler, AI Sports Mode, Dolby Atmos, /HDR10/HDR10+/HLG, Game Mode Plus","1,299",
"FPD 40-inch Smart TV, 1080p Google TV with Google Play Built-in Google Cast, HDR 10, Dolby Audio, Voice Remote, Full HD Flat Screen Television (Palette-Series, CG40-P3, 2025 Model)","1,098",
"LG 77-Inch C4 OLED evo 4K Smart TV - α9 AI Processor 4K, Alexa Built-in, 144Hz Refresh Rate, HDMI 2.1, G-Sync, FreeSync, VRR, WebOS 24, Dolby Vision, Dolby Atmos (OLED77C4PUA, 2024)",179,
"TCL 65” Class NXTFRAME TV 4K QLED, Dolby Vision IQ HDR & Dolby Atmos Smart TV with Google TV, Including Built-in Google Assistant with Voice Remote, Amazon Alexa Compatibility, and Flush Wall Mount",321,
"SAMSUNG 55-Inch Neo QLED AI Powered 4K QN85D Series, 120Hz Refresh Rate, Dolby Atmos, Q-Symphony, Gaming Hub, Smart TV - [QN55QN85DAFXZC] [Canada Version] (2024)",197,
"Skyworth 32-inch Smart LED HD Google TV, Streaming Devices, Google Assistant and Chromecast Built-in, HDR, Wi-Fi, Bluetooth, TD7300 Series (32'')",749,
"Philips Roku TV 43"" Frameless 4K Ultra HD (2160p | Enterainment Plus Series Smart TV (43PUL5924/F6), Dolby Atmos, Voice Assistant",978,
"Samsung UN32M4500BFXZC 32"" 720p HD Smart LED TV (2018), Black [Canada Version]",797,
"LG QNED80 50-Inch QLED NanoCell 4K Smart TV - Quantum Dot Nanocell, AI-Powered, Alexa Built-in, Gaming, 120Hz Refresh, HDMI 2.1, FreeSync, VRR, Magic Remote, 50"" Television (50QNED80URA, 2023)",449,
Sony 65 Inch 4K Ultra HD TV BRAVIA 3 LED Smart Google TV with Dolby Vision HDR and Exclusive Features for PlayStation®5 (K-65S30),499,
"Hisense 55U78N-55 inch Mini-LED PRO 4K QLED 144Hz Google TV with Quantum Dot Technology, DTS Virtual: X, HDR10/HDR10+/HLG, 1500 Nits Peak Brightness","1,699",
"Philips Google TV 43"" 4K Gaming Ultra HD Fast Response Panel 144Hz, Google TV, HDR10 (43PUG7674/F6), Dolby Atmos","9,312",
"LG 50-Inch UT7570 Series 4K Smart TV - α5 AI Processor 4K, Dynamic Tone Mapping, Alexa Ready, HDR10, HGIG, ALLM, WebOS 24, Wi-Fi, Bluetooth, AI Upscaling, AI Sound, LG Channels (50UT7570PUB, 2024)",747,
"Introducing Amazon Fire TV 75"" Omni Mini-LED Series, QLED 4K UHD smart TV, Dolby Vision IQ, 144hz gaming mode, Ambient Experience, hands-free with Alexa, 2024 release",479,
"Samsung - 75"" QN900A Series QLED 8K Ultra HD HDR Smart TV [QN75QN900AFXZC][Canada Version] (2021)",49,
"Hisense 65U68N-65 inch Mini-LED QLED 4K Smart Google TV with Full Array Local Dimming, HDR10/HDR10+/HLG, MEMC, Sports Mode, Game Mode Plus",157,
"FPD 55 inch Smart TV 4K UHD LED Google TV with Google Play and Google Cast Built-in, HDR 10, Dolby Vision Dolby Atmos, MEMC, Voice Remote, Stream Live TV(Canvas-Series, CG55-C1, 2025 Model)","1,099",
"Amazon Fire TV Stick HD (newest model), free and live TV, Alexa Voice Remote, smart home controls, HD streaming",499,
"TuTu 24-inch TV, 720P HD LED Flat Screen TV or Monitor with Dolby Audio, HDMI, USB, VGA, RCA, Dual Channel Speakers, Non-Smart TV for Room, Kitchen, Office, or RV Camper",278,
"TCL 75-Inch Class S5 4K UHD LED Smart TV with Google TV (75S551G-CA, 2024 Model), Google Assistant Built-in with Voice Remote, Compatible with Alexa, Streaming Television","1,399",
"LG Nano75 NanoCell Series 50” Alexa Built-in 4K Smart TV (3840 x 2160), AI-Powered 4K, Cloud Gaming (50NANO75)","1,597",
"Samsung 32 inch M5 White FHD Smart Monitor with Smart TV Apps, Gaming Hub, Multiple Ports (LS32DM501ENXZA) [Canada Version] (2024)","1,727",
"Amazon Fire TV 75"" Omni QLED Series 4K UHD smart TV, Dolby Vision IQ, local dimming, Fire TV Ambient Experience, hands-free with Alexa",299,
"Hisense 65S7N-65 inch CanvasTV™ 4K QLED Google TV with Art Mode, DTS Virtual:X, Dolby Vision/HDR10/HDR10+/HLG, 144Hz Refresh Rate, Game Mode PRO and Voice Control","2,379",
"SAMSUNG 85-Inch Class Crystal UHD DU8000 Series with Crystal Processor 4K, Object Tracking Sound Lite, Q-Symphony, Air Slim Design, Gaming Hub, Smart TV - [UN85DU8000FXZC][Canada Version] (2024)","1,697",
"Insignia 24"" 1080p FHD LED Smart TV (NS-24F202CA23) - Fire TV Edition - 2022",69,
"SYLVOX Outdoor TV, 43 inch 2000 Nit High Brightness Smart Outdoor TV, 4K Sunlight Readable Display, IP55 Waterproof, Smart TV for Outdoor Households or Commercial Places",69,
"LG 75-Inch QNED85 (QLED + NanoCell) Quantum Dot NanoCell 4K Smart TV - α8 AI Processor 4K, Alexa Built-in, 120Hz Refresh Rate, HDMI 2.1, FreeSync, VRR, WebOS 24, Magic Remote (75QNED85TUA, 2024)",69,
"Amazon Fire TV Stick 4K (newest model), streaming device, more than 700,000 movies and TV episodes, supports Wi-Fi 6, watch free & live TV",49,
"【 Android TV】 Smart Projector 270° Rotation Built in Bluetooth&WiFi 6, LYNCAST Auto Keystone Portable Projector 4K Support Mini Projector HY300pro Projector for Phone/TV Stick/HDMI/PS5/IOS",109,
"FPD 32 inch Smart TV HD 720p LED Google TV with Google Play and Google Cast Built-in, HDR 10, Dolby Audio, Voice Remote, Stream Live TV(Palette-Series, CG32-P3, 2025 Model)",93,
"Amazon Fire TV Stick Lite with Alexa Voice Remote Lite (no TV controls), HD streaming device",N/A,
DTECH 8K HDMI Cable 75FT 48Gbps Ultra High Speed HDMI Cord 8K@60Hz 4K@120Hz 2K@144Hz HDMIcable SBTM eARC Dynamic HDR Fiber Optic Compatible with TV/HDTV/Blu-ray cable hdmi,N/A,N/A
"Abireiv Cat6 Outdoor Ethernet Cable 350ft,Outdoor Shielded Grounded UV Resistant Waterproof Buried-able Network Cord Compatible for Ca6/Cat5/Cat5e,for Game,Router,LAN,TV",N/A,N/A
